summary_level,slide,cell_state,if_marker,n_cells,mean_value,median_value,q25,q75,pct_above_slide_q80,other_mean_value,delta_log1p_vs_rest
slide,slide4,TGF/EMT stromal-interface,Mean.MembraneStain,8617,781.227921550424,491,198,982,0.141812695833817,1061.08161185618,-0.269162884557258
slide,slide4,tumor epithelial-like,Mean.PanCK,21704,3514.18563398452,2124.5,1005,4434.25,0.624861776631036,698.03314808958,2.81631317180339
slide,slide4,tumor epithelial-like,Mean.CD45,21704,84.5027644673793,86,63,107,0,108.29349839606,-0.0774697266914926
slide,slide4,tumor epithelial-like,Mean.CD3,21704,272.952681533358,232,153,336,0.373433468485072,228.119203602464,0.534826316192373
slide,slide4,tumor epithelial-like,Mean.DAPI,21704,1642.02054920752,1578.5,1207,2012,0.153105418356063,1732.42783776864,-0.0434288697350302
slide,slide4,tumor epithelial-like,Mean.MembraneStain,21704,1353.73820493918,785,178,2017,0.346203464799115,929.10194430639,0.0120780489168766
slide,slide4,immune-like,Mean.PanCK,24434,1384.7652451502,192,56,654,0.14692641401326,1394.48136455732,-0.122989524151579
slide,slide4,immune-like,Mean.CD45,24434,166.539944339854,144,109,188,0.566423835638864,77.8305140649296,0.80907791080083
slide,slide4,immune-like,Mean.CD3,24434,357.624785135467,179,119,329,0.315707620528771,193.702555403729,0.486178967486628
slide,slide4,immune-like,Mean.DAPI,24434,2055.91691904723,2005,1535,2517,0.370549234672997,1577.46495154628,0.277739544965408
slide,slide4,immune-like,Mean.MembraneStain,24434,1522.30044200704,910,545,1564,0.283743963329786,846.205924390206,0.878465674477546
slide,slide4,other/background,Mean.PanCK,30737,338.396297621759,99,24,304,0.0154536877379055,1956.19881114249,-1.5889865769792
slide,slide4,other/background,Mean.CD45,30737,81.2375638481309,63,44,86,0.123011354393727,113.789160826971,-0.381346212897801
slide,slide4,other/background,Mean.CD3,30737,166.548459511338,93,60,145,0.0547548557113576,278.071540633825,-0.641651912715607
slide,slide4,other/background,Mean.DAPI,30737,1552.72908872043,1470,1094,1925,0.133096919022676,1794.50643238155,-0.150677584526284
slide,slide4,other/background,Mean.MembraneStain,30737,602.806519829522,436,208,800,0.0807170511110388,1264.59069832305,-0.52257162204784
slide,slide5,CAF/matrix-like,Mean.PanCK,6865,281.970284049527,102,14,345,0,2645.73444139212,-2.59709970293908
slide,slide5,CAF/matrix-like,Mean.CD45,6865,57.7542607428988,51,41,70,0,89.3725567698966,-0.355557424040447
slide,slide5,CAF/matrix-like,Mean.CD3,6865,83.4891478514203,61,47,98,0.00422432629278951,183.69965809601,-0.606270474357859
slide,slide5,CAF/matrix-like,Mean.DAPI,6865,3043.94187909687,2873,2049,3856,0.105316824471959,3443.74533093539,-0.062402383170058
slide,slide5,CAF/matrix-like,Mean.MembraneStain,6865,727.805389657684,541,281,932,0.0260742898761835,1920.81914662345,-0.974856159777669
slide,slide5,TGF/EMT stromal-interface,Mean.PanCK,5248,2207.16063262195,1018.5,125,3809.75,0.200457317073171,2379.04213267964,-0.290244274008846
slide,slide5,TGF/EMT stromal-interface,Mean.CD45,5248,68.4639862804878,64,50,87,0,87.3170292630611,-0.150913134519567
