dataset,sample_id,tissue_site,target_program,observed_rho,random_median_rho,delta_vs_random,empirical_p,support,source_file
GSE282302,GSM8641031_C2_D11_ROI1_s2,metadata_required,immune_core,0.641205875089186,-0.00757632339167089,0.648782198480857,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641031_C2_D11_ROI1_s2,metadata_required,ifn_mhc,0.631464865001739,-0.0142464886607216,0.645711353662461,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641031_C2_D11_ROI1_s2,metadata_required,tumor_aggressive,-0.340740053899828,-0.0181311259642342,-0.322608927935594,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641031_C2_D11_ROI1_s2,metadata_required,immune_maturity,0.633620623742979,-0.00439332645963953,0.638013950202619,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641032_C2_D11_ROI2_s1,metadata_required,immune_core,-0.706858553964466,0.0494430548529544,-0.756301608817421,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641032_C2_D11_ROI2_s1,metadata_required,ifn_mhc,-0.72940416036391,0.0375329667280509,-0.766937127091961,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641032_C2_D11_ROI2_s1,metadata_required,tumor_aggressive,-0.693659266127956,0.0416354654165599,-0.735294731544516,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641032_C2_D11_ROI2_s1,metadata_required,immune_maturity,-0.660137285958508,0.0379755283537828,-0.698112814312291,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641033_C2_D11_ROI2_s2,metadata_required,immune_core,-0.606754166016704,0.0534790570112144,-0.660233223027919,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641033_C2_D11_ROI2_s2,metadata_required,ifn_mhc,-0.631474793440628,0.0470853364687918,-0.67856012990942,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641033_C2_D11_ROI2_s2,metadata_required,tumor_aggressive,-0.618916814905679,0.0491634125656045,-0.668080227471284,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641033_C2_D11_ROI2_s2,metadata_required,immune_maturity,-0.615750391914539,0.0421523376931166,-0.657902729607655,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641034_C2_D11_ROI3_s1,metadata_required,immune_core,-0.244128886084229,0.00694576702811354,-0.251074653112343,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641034_C2_D11_ROI3_s1,metadata_required,ifn_mhc,-0.363560617944289,-0.00239303945326849,-0.361167578491021,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641034_C2_D11_ROI3_s1,metadata_required,tumor_aggressive,-0.398052460972011,-0.0120007071140735,-0.386051753857937,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641034_C2_D11_ROI3_s1,metadata_required,immune_maturity,-0.281878738728442,0.00238987411190211,-0.284268612840344,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641035_C2_D11_ROI3_s2,metadata_required,immune_core,-0.39792003145432,0.00746372393024548,-0.405383755384566,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641035_C2_D11_ROI3_s2,metadata_required,ifn_mhc,-0.471539048802278,-0.0042516641174887,-0.46728738468479,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641035_C2_D11_ROI3_s2,metadata_required,tumor_aggressive,-0.475514599368139,-0.0130864484138479,-0.462428150954291,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641035_C2_D11_ROI3_s2,metadata_required,immune_maturity,-0.311543000700124,0.00855436569950326,-0.320097366399627,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
