dataset,tissue_site,target_program,null_type,n_samples,median_observed_rho,median_null,median_delta,support_n,support_fraction,median_empirical_p,context_label,panel,anchor_type,core_module,target_module,sensitivity_mode,target_removed_status,shared_genes_n,target_genes_n,remaining_target_genes_n,jaccard_index,percent_target_shared_with_core,median_overlap_sensitive_delta,shared_gene_symbols,dataset_id,sample_id,specimen_type,delta_vs_null_median__IFN_MHC,delta_vs_null_median__immune_core,delta_vs_null_median__tumor_aggressive,empirical_p_more_negative__IFN_MHC,empirical_p_more_negative__immune_core,empirical_p_more_negative__tumor_aggressive,null_median_rho__IFN_MHC,null_median_rho__immune_core,null_median_rho__tumor_aggressive,observed_rho__IFN_MHC,observed_rho__immune_core,observed_rho__tumor_aggressive,stromal_tumor_core_coupling,immune_core_coupling,immune_decoupling_index,core_enrichment__IFN/MHC,core_enrichment__immune core,core_enrichment__tumor aggressive,dominant_nmf_ecotype,dominant_nmf_ecotype_label,analysis,left_out_sample,n_samples_included,IFN_MHC_median_delta,immune_core_median_delta,tumor_aggressive_median_delta,IFN_MHC_support_n,immune_core_support_n,tumor_aggressive_support_n,rank,n_runs,n_features,reconstruction_error_mean,reconstruction_error_sd,reconstruction_error_best,relative_error_mean,explained_fraction_mean,explained_fraction_best,ari_mean,ari_sd,component_cosine_to_best_mean,component_cosine_to_best_sd,n_converged_runs,n_not_converged_runs,min_dominant_component_n_best,max_dominant_component_n_best,consensus_pac_0.1_0.9,consensus_cophenetic,delta_explained_from_previous_rank,delta_best_explained_from_previous_rank,init,seed,reconstruction_error,relative_error,explained_fraction,n_iter,converged,min_dominant_component_n,max_dominant_component_n,component_labels
GSE282302,metadata_required,tumor-aggressive,spatially_contiguous_random_core,108.0,-0.3448240336101036,-0.0507785089503207,-0.2750915459507441,91.0,0.8425925925925926,0.0679320679320679,"GSE282302
post-NACT",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IFN/MHC,,205.0,-0.2851856943514236,,-0.2851120013308127,184.0,0.8975609756097561,0.0009990009990009,,B_anchor_components,CAF-myeloid combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SPP1/TAM,,205.0,-0.3867637523180325,,-0.3773326094632958,203.0,0.9902439024390244,0.0009990009990009,,B_anchor_components,CAF-myeloid combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TGF-beta/EMT,,205.0,-0.487608964839306,,-0.4782412947673696,203.0,0.9902439024390244,0.0009990009990009,,B_anchor_components,CAF-myeloid combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,immune-core,,205.0,-0.2640220546393799,,-0.2609357909870245,177.0,0.8634146341463415,0.0009990009990009,,B_anchor_components,CAF-myeloid combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tumor epithelial,,205.0,0.0074173474574814,,0.0184234313744072,97.0,0.473170731707317,0.7072927072927073,,B_anchor_components,CAF-myeloid combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tumor-aggressive,,205.0,-0.2881690104680047,,-0.276856314721267,175.0,0.8536585365853658,0.0009990009990009,,B_anchor_components,CAF-myeloid combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IFN/MHC,,205.0,-0.111312553270707,,-0.1036466107913894,145.0,0.7073170731707317,0.0039960039960039,,B_anchor_components,CAF-only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SPP1/TAM,,205.0,-0.127639689240529,,-0.113322662258525,161.0,0.7853658536585366,0.0019980019980019,,B_anchor_components,CAF-only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TGF-beta/EMT,,205.0,-0.4296676668651986,,-0.4272579512353317,198.0,0.9658536585365852,0.0009990009990009,,B_anchor_components,CAF-only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
