title,geo_accession,tissue,treatment,tissue.type,dcc_id,sample_id,roi_id,patient_id,aoi_type,caf_mycaf,pancaf_matrix,myeloid_macrophage,spp1_tam,tgfb_emt,ifn_apc,immune_core,t_cell,b_plasma,tumor_aggressive,tumor_epithelial
"95.1,stroma [DSP-1001660005320-D-E11]",GSM7681022,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-E11.dcc,95.1,95.1,95,stroma,1.32628757419056,1.28331161042453,-0.366047175001869,-0.0713562107778106,0.235342235426259,-0.560538206005422,-0.757376601811671,-0.593838782534941,,-0.528793738407151,-0.391698801597106
"95.2,tumor [DSP-1001660005320-D-E12]",GSM7681024,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-E12.dcc,95.2,95.2,95,tumor,-0.556048006702291,-0.760236471174099,-0.238855639139058,0.101975291376609,-0.100332748862726,-0.505895594432007,-0.878892638369987,-0.834476394896617,,1.00548414322241,1.61643531660764
"95.2,stroma [DSP-1001660005320-D-F01]",GSM7681025,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-F01.dcc,95.2,95.2,95,stroma,0.741878949304646,0.592125922380191,3.10923001857977,1.87557909306494,0.694737745708754,0.322832802068216,0.500826901895921,-0.153463659051812,,-0.534126066131983,-0.662612693528183
"16.1,tumor [DSP-1001660005320-D-F02]",GSM7681027,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-F02.dcc,16.1,16.1,16,tumor,-0.723200091522291,-0.768391081405617,0.202082276522644,-0.214000486792548,-0.458641674845497,-0.197866056924111,0.153496839495357,-0.465360322364145,,0.194921415158402,0.262504850907473
"16.1,stroma [DSP-1001660005320-D-F03]",GSM7681029,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-F03.dcc,16.1,16.1,16,stroma,-0.121120562912864,-0.0642228431477141,0.836215763530362,-0.0776734970634111,-0.0398771157860584,0.0399826389847782,0.558159187136107,0.72092522221703,,-0.523090826394005,-0.916668234568493
"16.2,tumor [DSP-1001660005320-D-F04]",GSM7681030,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-F04.dcc,16.2,16.2,16,tumor,-0.766586349751596,-0.778803387101256,-0.567051147803347,0.0140872998437609,-0.376837280898631,-0.203315359410673,-0.261992200737258,-0.770153108597521,,-0.328287361937418,0.200554816568702
"16.2,stroma [DSP-1001660005320-D-F05]",GSM7681032,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-F05.dcc,16.2,16.2,16,stroma,-0.43332778314215,-0.174459920518622,0.919504560414888,-0.191969280366223,0.272978340759543,0.0904671581695759,0.306814553153063,-0.0315406158209965,,-0.470724746976582,-0.932224453400844
"87.1,tumor [DSP-1001660005320-D-F06]",GSM7681034,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-F06.dcc,87.1,87.1,87,tumor,-0.704257341995703,-0.72474599209518,-0.438527334994194,1.51854115587722,-0.0813805023501982,-0.631536279751272,-0.751949167390144,-0.742325037300983,,-0.070138064042383,0.20275675150142
"87.1,stroma [DSP-1001660005320-D-F07]",GSM7681035,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-F07.dcc,87.1,87.1,87,stroma,-0.245928257186556,0.19056784935719,0.494385783785467,0.0693032272471964,0.300360583333034,0.474149047084496,0.916655948020134,1.32988887265969,,-0.619808925661315,-0.681304577394996
"87.2,tumor [DSP-1001660005320-D-F08]",GSM7681037,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-F08.dcc,87.2,87.2,87,tumor,-0.652996784513267,-0.55805616757811,0.112796591451787,0.857632813360183,-0.0403288003239346,-0.112093192628481,-0.183371666477147,-0.148504834656385,,-0.023049254754851,-0.0140701804389146
